dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,full_price,price,title,imageurl,itemurl,contract_id,seller_id,delivery_id
E0001,Baltini,5/14/2024,drm,snize-product-6827139170401,USD,USD,$533.00 ,$356.00 ,drm beige suede bomber jacket,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/60438cecc76f5ff1546e71263da4cd57_large.jpg?v=1713222827,https://www.baltini.com/collections/womens-coats-jackets/products/beige-suede-bomber-jacket,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/15/2024,'s max mara,snize-product-7056333373537,USD,USD,$955.00 ,$637.00 ,'s max mara elisa wool coat,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/48528c2e3d2a824d4c29f47a2560c89b_7c1acc32-4afe-4274-ae92-c12cb374cb86_large.jpg?v=1713879212,https://www.baltini.com/collections/womens-coats-jackets/products/s-max-mara-wool-wrap-coat,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/16/2024,woolrich,snize-product-6990145716321,USD,USD,$541.00 ,$360.00 ,woolrich prescott - luxe parka 2-in-1,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/5877b24f98fb2aa0cda2c14af383aa62_large.jpg?v=1713161933,https://www.baltini.com/collections/womens-coats-jackets/products/woolrich-prescott-luxe-parka-2-in-1,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/17/2024,saint laurent,snize-product-6997749235809,USD,USD,"$2,067.00 ","$1,378.00 ",saint laurent jackets,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/919b05385e667958b73ea468d6055315_92ce0264-06b2-43a6-a315-5ea1a0233bef_large.jpg?v=1713694523,https://www.baltini.com/collections/womens-coats-jackets/products/saint-laurent-capispalla,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/18/2024,jacquemus,snize-product-7004762275937,USD,USD,"$1,071.00 ",$714.00 ,jacquemus la veste tibau blazer jacket,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/2a19d5bbe66c9e33b12224a997da095a_46690b62-64ad-471c-ab93-c8aaa0f4a95e_large.jpg?v=1714200420,https://www.baltini.com/collections/womens-coats-jackets/products/jacquemus-la-veste-tibau-blazer-jacket,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/19/2024,burberry,snize-product-7028574716001,USD,USD,$981.00 ,$654.00 ,burberry jackets,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/80915855435121d1752a869f6155cf3f_d9db5db4-f5c9-4195-af8a-5c0275b0a16c_large.jpg?v=1713916054,https://www.baltini.com/collections/womens-coats-jackets/products/burberry-jackets-117,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/20/2024,max mara atelier,snize-product-7046757023841,USD,USD,"$3,709.00 ","$2,473.00 ","max mara atelier ""angel"" coat",https://cdn.shopify.com/s/files/1/0274/7695/1137/files/e985adb5bea8d272287ab0cc56af54da_33dc08e3-94bf-4760-adcf-b4df1ae9aa1c_large.jpg?v=1714260196,https://www.baltini.com/collections/womens-coats-jackets/products/max-mara-atelier-angel-coat,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/21/2024,max mara the cube,snize-product-7067632861281,USD,USD,$541.00 ,$361.00 ,max mara the cube outerwears,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/d13506f2598d5dff94173787268e7560_65a0f420-4af8-4c8d-bd2c-2b6ac70fcdeb_large.jpg?v=1713686094,https://www.baltini.com/collections/womens-coats-jackets/products/max-mara-the-cube-outerwears-5,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/22/2024,iro,snize-product-7071149293665,USD,USD,"$1,189.00 ",$792.00 ,iro outerwears,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/e8cbc69f96b40e2920f1c88f3ccb42e5_a0f74631-3d4c-4bda-bffa-44aabefa7529_large.jpg?v=1714757094,https://www.baltini.com/collections/womens-coats-jackets/products/iro-outerwears-2,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/23/2024,p.a.r.o.s.h.,snize-product-7072779239521,USD,USD,$681.00 ,$454.00 ,p.a.r.o.s.h. leather biker jacket,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/3d55c0af2dfa6ab460d776cbdf3e0e50_d8866164-f782-446c-aa08-55270082a986_large.jpg?v=1715196055,https://www.baltini.com/collections/womens-coats-jackets/products/p-a-r-o-s-h-leather-biker-jacket,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/24/2024,uma wang,snize-product-7072845398113,USD,USD,"$1,529.00 ","$1,019.00 ",uma wang blazers,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/53ae798136e7fbf3ebc3b04930d86a32_c4ecd658-5e8f-4e0a-b129-8b238251d45f_large.jpg?v=1715201997,https://www.baltini.com/collections/womens-coats-jackets/products/uma-wang-blazers-1,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/25/2024,moncler grenoble,snize-product-7106647818337,USD,USD,"$1,772.00 ","$1,182.00 ",moncler grenoble 'limosee' cream polyamide jacket,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/2800b830beb295741ffd64b00befd65b_9a471606-e534-43f4-be0a-fdf20a0a8a51_large.jpg?v=1714648540,https://www.baltini.com/collections/womens-coats-jackets/products/moncler-grenoble-limosee-jacket,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/26/2024,herno,snize-product-7107594682465,USD,USD,$740.00 ,$494.00 ,herno outerwears,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/b10fe9ffe66ff75ebb78325f7d9cb865_aa94ff39-05fe-462e-9385-1be5063daeba_large.jpg?v=1714918046,https://www.baltini.com/collections/womens-coats-jackets/products/herno-outerwears-55,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/27/2024,dolce & gabbana,snize-product-7108045242465,USD,USD,"$1,509.00 ","$1,006.00 ",dolce & gabbana black casual jacket,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/c34297089212faa0968895e4d535d51c_cdb5623a-dc23-4a80-bf10-c5812457fa36_large.jpg?v=1714995170,https://www.baltini.com/collections/womens-coats-jackets/products/dolce-gabbana-black-casual-jacket-1,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/28/2024,isabel marant,snize-product-7108945707105,USD,USD,"$1,006.00 ",$671.00 ,isabel marant jackets,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/83701935bed3c70934c778692ca226b7_726bce51-9879-4263-909b-3d2ed21ad3b3_large.jpg?v=1715103705,https://www.baltini.com/collections/womens-coats-jackets/products/isabel-marant-jackets-31,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/29/2024,balmain,snize-product-7109164695649,USD,USD,"$1,957.00 ","$1,305.00 ",balmain jackets,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/b3ff589bf7e29c7dc9eee6457e6ca13e_542efa12-e0f0-443b-9bf8-7e738f02f1d1_large.jpg?v=1715115968,https://www.baltini.com/collections/womens-coats-jackets/products/balmain-jackets-57,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/30/2024,iro,snize-product-7109500534881,USD,USD,$851.00 ,$568.00 ,iro ashville leather biker jacket,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/48c5316d530c868ce5577a20588c24cd_71c11a9f-0e5d-412b-93bf-39d864c15537_large.jpg?v=1715167160,https://www.baltini.com/collections/womens-coats-jackets/products/iro-ashville-leather-biker-jacket,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,5/31/2024,emporio armani,snize-product-7112020263009,USD,USD,$629.00 ,$419.00 ,emporio armani leather jacket,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/6daed8d3d47a504cb62e023563ca0ce7_large.jpg?v=1713170797,https://www.baltini.com/collections/womens-coats-jackets/products/ea7-emporio-armani-leather-jacket-1,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,6/1/2024,sacai,snize-product-7112266547297,USD,USD,$812.00 ,$542.00 ,sacai jacket,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/8457d0e45d3012ced8584219d8ae155e_large.jpg?v=1713208103,https://www.baltini.com/collections/womens-coats-jackets/products/sacai-jacket-9,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,6/2/2024,missoni,snize-product-7112724054113,USD,USD,$309.00 ,$206.00 ,missoni fringed poncho,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/7861fe04a502fb17c2fe08d045c1c3d4_8fc42bd5-e177-41ff-b532-7b3f2a5663e2_large.jpg?v=1713314231,https://www.baltini.com/collections/womens-coats-jackets/products/missoni-fringed-poncho-2,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,6/3/2024,moncler,snize-product-7113758179425,USD,USD,$954.00 ,$636.00 ,moncler liane logo-patch vest,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/35139956b04662fd06981b6459e8a079_12b712ed-2536-406e-b505-82faef2c0f33_large.jpg?v=1713549056,https://www.baltini.com/collections/womens-coats-jackets/products/moncler-liane-logo-patch-vest-1,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
E0001,Baltini,6/4/2024,max mara,snize-product-7117184434273,USD,USD,"$1,220.00 ",$813.00 ,max mara jackets,https://cdn.shopify.com/s/files/1/0274/7695/1137/files/2632abeddbdb9f435cc8f60e82292785_38ddc06b-7aae-40dd-b7ea-48dc85002814_large.jpg?v=1714232769,https://www.baltini.com/collections/womens-coats-jackets/products/max-mara-jackets-43,rec4RTKV7IjqmEl5S,AKIAS3CAQLRAANVSQ3E5,1715677931
